Id;Imei;Incio_Viaje;Hora_Incio_Viaje;Fin_Viaje;Tiempo_Pausas_hh;Direccion_Inicio;Direeccion_Fin;Latitud_Inicio;Longitud_Inicio;Latitud_Fin;Longitud_Fin;Kilometro_Total_Recorrido;Fin_Odometer;Inicio_Odometro;Puntaje_de_Conduccion;Frenado_Brusco;Acelerado_Brusco;Exceso_Velocidad;Exceso_Segmento;Marca;Modelo;Placa;Chasis;Alias;Grupo;Cliente;daily_ignition_on_move;Tiempo_Recorrido_hh;Tiempo_Detenido_hh;daily_ignition_on_stop;Unidad_Medida_Consumo Combustible;Consumo_Medio_Combustible;Codigo_Viaje;Empresa
400703;400703;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,4;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;51,35;43145,56;43094,21;99,72;0;0;0;NULL;CHEVROLET;NKR III;EQP424;9GDNMR850JB016202;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,5;1,4;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400709;400709;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,75;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;0,31;88516,79;88516,49;100;0;0;0;NULL;CHEVROLET;NKR III;EQP477;9GDNMR857JB016438;MEALS CARNICO MONTERIA;Alimentos Carnicos;MEALS CARNICO MONTERIA;1899-12-30 00:00:00.000;0;1,75;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400710;400710;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;2;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;0,47;87875,85;87875,38;100;0;0;0;NULL;CHEVROLET;NKR III;EQP478;9GDNMR859JB016439;MEALS CARNICO MONTERIA;Alimentos Carnicos;MEALS CARNICO MONTERIA;1899-12-30 00:00:00.000;0;2;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400711;400711;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;2,84;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;220,49;75472,58;75252,1;99,61;0;0;0;NULL;CHEVROLET;NKR III;EQP536;9GDNMR852JB016296;MEALS CARNICO MONTERIA;Alimentos Carnicos;MEALS CARNICO MONTERIA;1899-12-30 00:00:00.000;3,61;2,84;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
161413;161413;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;30,06;86111,57;86081,51;100;0;0;0;NULL;NISSAN;D23 FRONTIER;IXM639;3N6CD33B0ZK353163;EPIROC COLOMBIAS SAS;EPIROC;EPIROC COLOMBIAS SAS;1899-12-30 00:00:00.000;1,13;0;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
160986;160986;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;138,34;46228,1;46089,76;100;0;0;0;NULL;RENAULT;TRAFIC;WNL084;VF10FL216GS831729;ATLAS COPCO COLOMBIA LTDA;ATLAS COPCO;ATLAS COPCO COLOMBIA LTDA;1899-12-30 00:00:00.000;4,63;0;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
180121;180121;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;28,05;31037,5;31009,45;100;0;0;0;NULL;RENAULT;TRAFIC;WNL085;VF10FL216GS831725;ATLAS COPCO COLOMBIA LTDA;ATLAS COPCO;ATLAS COPCO COLOMBIA LTDA;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
161412;161412;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;0,33;30794,7;30794,37;100;0;0;0;NULL;RENAULT;TRAFIC;WNL086;VF10FL216GS831730;ATLAS COPCO COLOMBIA LTDA;ATLAS COPCO;ATLAS COPCO COLOMBIA LTDA;1899-12-30 00:00:00.000;1;0;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
161363;161363;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;159,47;48669,12;48509,65;99,75;0;0;1;NULL;RENAULT;TRAFIC;WNL087;VF10FL216GS831731;ATLAS COPCO COLOMBIA LTDA;ATLAS COPCO;ATLAS COPCO COLOMBIA LTDA;1899-12-30 00:00:00.000;4,33;0;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400047;400047;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,75;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;137,39;239678,95;239541,57;98,84;0;0;0;NULL;CHEVROLET;NPR;WOW823;9GDNPR754HB004279;NEGOCIO CÁRNICO CALI;AVIS Carnicos;NEGOCIO CÁRNICO CALI;1899-12-30 00:00:00.000;2,55;0,75;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
