Date,Platform,Duration,App Version,OS Version,User Index,User Id,Session,Device,Country,Location,Screens,Actions,Crashed,App Killed,Connectivity,Video,Offline,Tags
05/09/2019 20:00,Android,00:00:00,1.27,9,6035,Anonymous,200,SM-A805F,Ecuador,"Machala, El Oro",1,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71afaa7d47131c8e28e2fe,No,
05/09/2019 19:59,Android,00:00:05,1.27,9,6035,Anonymous,199,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af837d47131c8e28e111,No,
05/09/2019 19:59,Android,00:00:08,1.27,9,6035,Anonymous,198,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af757d47131c8e28e10f,Yes,
05/09/2019 19:59,Android,00:00:02,1.27,9,6035,Anonymous,197,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af6f7d47131c8e28e020,No,
05/09/2019 19:59,Android,00:00:02,1.27,9,6035,Anonymous,196,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af697d47131c8c6ba090,No,
05/09/2019 19:59,Android,00:00,1.27,9,6035,Anonymous,195,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af627d47131c8e28df8f,No,
05/09/2019 19:59,Android,00:00,1.27,9,6035,Anonymous,194,SM-A805F,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af54de9b4c1819f91056,No,
05/09/2019 19:58,Android,00:00:15,1.27,9,1559,Anonymous,773,Huawei P20 Pro,Ecuador,"Machala, El Oro",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71af2bde9b4c181351f308,No,
05/09/2019 19:57,Android,00:01:25,1.27,5.1.1,6470,Anonymous,169,SM-J120M,Ecuador,"Guayaquil, Guayas",9,3,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71aee98f5beb15256b0036,No,
05/09/2019 19:52,Android,00:00:11,1.27,8.0.0,721,Anonymous,681,WAS-LX3,Ecuador,"Quito, Pichincha",5,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71ade78f5beb15256af411,No,
05/09/2019 19:49,Android,00:00:10,1.27,7.0,268,Anonymous,850,HUAWEI CAN-L13,Ecuador,"Rosa Zarate, Esmeraldas",2,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71ad024bef501505470007,No,
05/09/2019 19:49,Android,00:00:02,1.27,7.0,268,Anonymous,849,HUAWEI CAN-L13,Ecuador,"Rosa Zarate, Esmeraldas",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71acfede9b4c1816d8b698,No,
05/09/2019 19:48,Android,00:00:20,1.27,7.1.1,5668,Anonymous,197,SM-J250M,Ecuador,"Quito, Pichincha",4,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71acf28f5beb1522cd486d,No,
05/09/2019 19:34,Android,00:01:02,1.27,8.0.0,721,Anonymous,680,WAS-LX3,Ecuador,"Quito, Pichincha",10,4,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a985de9b4c1816d89364,No,
05/09/2019 19:31,Android,00:00:51,1.29,6.0.1,4281,Anonymous,93,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",5,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a8db7d47131c8e289703,No,
05/09/2019 19:31,Android,00:00:02,1.29,6.0.1,4281,Anonymous,92,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a8d7105c0114f2fa85d7,No,
05/09/2019 19:24,Android,00:00:29,1.29,6.0.1,4281,Anonymous,91,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",4,3,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a730105c0114f2fa85d6,Yes,
05/09/2019 19:19,Android,00:00:21,1.27,5.1.1,6470,Anonymous,167,SM-J120M,Ecuador,"Guayaquil, Guayas",3,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a60e8d60ef15298c17dd,No,
05/09/2019 19:14,Android,00:00:56,1.27,5.1.1,6470,Anonymous,166,SM-J120M,Ecuador,"Guayaquil, Guayas",4,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a4fb7d47131c8e285c62,No,
05/09/2019 19:14,Android,00:00:28,1.29,6.0.1,4281,Anonymous,86,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a4e57d47131c8e285b08,No,
05/09/2019 19:14,Android,00:00:11,1.27,7.1.1,5668,Anonymous,196,SM-J250M,Ecuador,"Quito, Pichincha",3,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a4db418d2215ce5d472f,No,
05/09/2019 19:10,Android,00:00:13,1.29,6.0.1,4281,Anonymous,84,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a3dd7d47131c90e97ab7,No,
05/09/2019 18:59,Android,00:00:05,1.29,6.0.1,4281,Anonymous,83,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a1567d47131c90e958ab,No,
05/09/2019 18:58,Android,00:00:13,1.29,6.0.1,4281,Anonymous,82,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a13fe9a29e09e124345f,No,
05/09/2019 18:55,Android,00:00:26,1.29,6.0.1,4281,Anonymous,81,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",3,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a05d4bef501501a2f7e5,No,
05/09/2019 18:45,Android,00:00:02,1.27,8.0.0,721,Anonymous,679,WAS-LX3,Ecuador,"Quito, Pichincha",2,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719e317d47131c90e9368c,No,
05/09/2019 18:44,Android,00:00:14,1.27,8.0.0,721,Anonymous,678,WAS-LX3,Ecuador,"Quito, Pichincha",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719df87d47131c8e280400,No,
05/09/2019 18:44,Android,00:00:18,1.27,8.0.0,721,Anonymous,677,WAS-LX3,Ecuador,"Quito, Pichincha",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719dda7d47131c8a24348a,No,
05/09/2019 18:43,Android,00:00:19,1.27,8.0.0,721,Anonymous,676,WAS-LX3,Ecuador,"Quito, Pichincha",4,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719dbf7d47131c90e931c3,No,
05/09/2019 18:43,Android,00:02:02,1.29,6.0.1,4281,Anonymous,80,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",7,3,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719db77d47131c8a24333d,No,
05/09/2019 18:43,Android,00:00:02,1.29,6.0.1,4281,Anonymous,79,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719db2105c0114f8207739,No,
05/09/2019 18:40,Android,00:00:14,1.27,8.0.0,798,Anonymous,119,WAS-LX3,Ecuador,"Quito, Pichincha",2,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719d0b7d47131c8a242bb2,No,
05/09/2019 18:40,Android,00:00:02,1.27,8.0.0,798,Anonymous,118,WAS-LX3,Ecuador,"Quito, Pichincha",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719d088d60ef15274ffda6,No,
05/09/2019 18:38,Android,00:00:18,1.27,9,1559,Anonymous,772,Huawei P20 Pro,Ecuador,"Machala, El Oro",3,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719c7cde9b4c1816d7e595,No,
05/09/2019 18:38,Android,00:00:22,1.29,6.0.1,4281,Anonymous,78,Samsung Galaxy J7,Ecuador,"Guayaquil, Guayas",2,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719c6fe9a29e09df5fa411,No,
05/09/2019 18:37,Android,00:00:15,1.27,8.0.0,721,Anonymous,675,WAS-LX3,Ecuador,"Quito, Pichincha",3,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719c327d47131c8e27ef36,No,
05/09/2019 18:34,Android,00:00:01,1.27,9,1995,Anonymous,813,SM-J415G,Ecuador,"Tosagua, Manabi",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719b7f8d60ef15274feb52,No,
05/09/2019 18:33,Android,00:00:22,1.27,9,1995,Anonymous,812,SM-J415G,Ecuador,"Tosagua, Manabi",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719b5ee9a29e09df5f97bc,No,
05/09/2019 18:28,Android,00:00:08,1.27,9,1995,Anonymous,811,SM-J415G,Ecuador,"Tosagua, Manabi",3,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719a2c105c0114f2f9cf69,No,
05/09/2019 18:28,Android,00:00:04,1.27,9,1995,Anonymous,810,SM-J415G,Ecuador,"Tosagua, Manabi",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d719a248d60ef1524c8cc69,No,
